"id_short"	"id"	"family"	"given"	"other_family_names"	"other_given_names"	"birth"	"death"	"parl_period_start"	"parl_period_end"	"party"	"party_ids"	"label"	"gender"	"role_label"	"group_label"
911524	"http://ldf.fi/semparl/people/p911524"	"Soininen"	"Mikael"	"Johnsson"	"August Mikael"	1860-01-01	1924-01-01	1919-08-15	1920-03-15	"Suomalainen puolue"	"http://ldf.fi/semparl/groups/Q1378704"	"Soininen, Mikael (1860-1924)"	"Male"	"kirkollis- ja opetusministeri"	"Vennolan hallitus"
265	"http://ldf.fi/semparl/people/p265"	"Soininvaara"	"Osmo"		"Osmo Heikki Kristian"	1951-01-01		1987-03-21	1991-03-21	"Vihr."	"http://ldf.fi/semparl/groups/Q196695"	"Soininvaara, Osmo (1951-)"	"Male"	"edustaja"	
265	"http://ldf.fi/semparl/people/p265"	"Soininvaara"	"Osmo"		"Osmo Heikki Kristian"	1951-01-01		1995-03-24	2007-03-20	"Vihr."	"http://ldf.fi/semparl/groups/Q196695"	"Soininvaara, Osmo (1951-)"	"Male"	"edustaja"	
265	"http://ldf.fi/semparl/people/p265"	"Soininvaara"	"Osmo"		"Osmo Heikki Kristian"	1951-01-01		2000-04-14	2002-04-18	"Vihr."	"http://ldf.fi/semparl/groups/Q196695"	"Soininvaara, Osmo (1951-)"	"Male"	"peruspalveluministeri"	"Lipposen II hallitus"
265	"http://ldf.fi/semparl/people/p265"	"Soininvaara"	"Osmo"		"Osmo Heikki Kristian"	1951-01-01		2011-04-20	2015-04-21	"Vihr."	"http://ldf.fi/semparl/groups/Q196695"	"Soininvaara, Osmo (1951-)"	"Male"	"edustaja"	
"Q11853723"	"http://ldf.fi/semparl/people/Q11853723"	"Solitander"	"Axel"			1878-05-29	1944-01-01	1930-07-04	1931-03-21			"Axel Solitander (1878-1944)"	"Male"	"kauppa- ja teollisuusministeri"	"Svinhufvudin II hallitus"
911526	"http://ldf.fi/semparl/people/p911526"	"Solja"	"Niilo"	"Sandell"	"Niilo Johannes"	1888-01-01	1967-01-01	1930-10-21	1933-08-31	"Kok."	"http://ldf.fi/semparl/groups/Q304191"	"Solja, Niilo (1888-1967)"	"Male"	"edustaja"	
911526	"http://ldf.fi/semparl/people/p911526"	"Solja"	"Niilo"	"Sandell"	"Niilo Johannes"	1888-01-01	1967-01-01	1931-03-21	1932-03-03	"Kok."	"http://ldf.fi/semparl/groups/Q304191"	"Solja, Niilo (1888-1967)"	"Male"	"apulaissisäasiainministeri"	"Sunilan II hallitus"
911527	"http://ldf.fi/semparl/people/p911527"	"Solla"	"Lauri"		"Lauri Johannes"	1911-01-01	1995-01-01	1951-07-21	1954-03-28	"Kesk."	"http://ldf.fi/semparl/groups/Q506591"	"Solla, Lauri (1911-1995)"	"Male"	"edustaja"	
911528	"http://ldf.fi/semparl/people/p911528"	"Somersalo"	"Arne"	"Sommer"	"Aarne Sakari"	1891-01-01	1941-01-01	1933-09-01	1936-08-31	"IKL"	"http://ldf.fi/semparl/groups/Q1442516"	"Somersalo, Arne (1891-1941)"	"Male"	"edustaja"	
911529	"http://ldf.fi/semparl/people/p911529"	"Somersalo"	"Eva"	"Sommer"		1883-01-01	1956-01-01	1924-05-01	1927-09-01	"Kok."	"http://ldf.fi/semparl/groups/Q304191"	"Somersalo, Eva (1883-1956)"	"Female"	"edustaja"	
911530	"http://ldf.fi/semparl/people/p911530"	"Sopanen"	"Elias"		"Elias Walfrid; E.W."	1863-01-01	1926-01-01	1914-02-02	1917-10-31	"Kansallinen Edistyspuolue"	"http://ldf.fi/semparl/groups/Q1191102"	"Sopanen, Elias (1863-1926)"	"Male"	"edustaja"	
911530	"http://ldf.fi/semparl/people/p911530"	"Sopanen"	"Elias"		"Elias Walfrid; E.W."	1863-01-01	1926-01-01	1923-12-21	1924-01-18	"Kansallinen Edistyspuolue"	"http://ldf.fi/semparl/groups/Q1191102"	"Sopanen, Elias (1863-1926)"	"Male"	"oikeusministeri"	"Kallion hallitus"
"Q17383921"	"http://ldf.fi/semparl/people/Q17383921"	"Sorkio"	"Kaarle"			1910-11-11	1978-03-29	1964-09-12	1966-05-27			"Kaarle Sorkio (1910-1978)"	"Male"	"ministeri sosiaaliministeriössä"	"Virolaisen hallitus"
911531	"http://ldf.fi/semparl/people/p911531"	"Sormunen"	"Ilmari"		"Toivo Ilmari"	1896-01-01	1980-01-01	1945-04-06	1951-07-20	"SKDL"	"http://ldf.fi/semparl/groups/Q585735"	"Sormunen, Ilmari (1896-1980)"	"Male"	"edustaja"	
