id__short	id	family	given	other_family_names	other_given_names	label	gender	birth	death	role_label	group_label	group_id	group_class	parl_period_start	parl_period_end	party	party_ids
910016	http://ldf.fi/semparl/people/p910016	Eskola	Kusti		Kustaa Oskari	Eskola, Kusti (1911-2003)	Male	1911-01-01	2003-12-31	ministeri kulkulaitosten ja yleisten töiden ministeriössä	Kekkosen IV hallitus	http://ldf.fi/semparl/groups/Kekkonen_IV	http://ldf.fi/schema/semparl/Government	1953-07-09	1953-10-29	Kesk.	http://ldf.fi/semparl/groups/Q506591
910016	http://ldf.fi/semparl/people/p910016	Eskola	Kusti		Kustaa Oskari	Eskola, Kusti (1911-2003)	Male	1911-01-01	2003-12-31	kulkulaitosten ja yleisten töiden ministeri	Kekkosen IV hallitus	http://ldf.fi/semparl/groups/Kekkonen_IV	http://ldf.fi/schema/semparl/Government	1953-10-30	1953-11-16	Kesk.	http://ldf.fi/semparl/groups/Q506591
910016	http://ldf.fi/semparl/people/p910016	Eskola	Kusti		Kustaa Oskari	Eskola, Kusti (1911-2003)	Male	1911-01-01	2003-12-31	pj	Maalaisliiton eduskuntaryhmä (1954-1958)	http://ldf.fi/semparl/groups/g1957024610767634807	http://ldf.fi/semparl/groups/pg4	1956-01-01	1957-12-31	Kesk.	http://ldf.fi/semparl/groups/Q506591
910016	http://ldf.fi/semparl/people/p910016	Eskola	Kusti		Kustaa Oskari	Eskola, Kusti (1911-2003)	Male	1911-01-01	2003-12-31	kulkulaitosten ja yleisten töiden ministeri	Sukselaisen hallitus	http://ldf.fi/semparl/groups/Sukselainen	http://ldf.fi/schema/semparl/Government	1957-05-27	1957-07-01	Kesk.	http://ldf.fi/semparl/groups/Q506591
910016	http://ldf.fi/semparl/people/p910016	Eskola	Kusti		Kustaa Oskari	Eskola, Kusti (1911-2003)	Male	1911-01-01	2003-12-31	maatalousministeri	Sukselaisen hallitus	http://ldf.fi/semparl/groups/Sukselainen	http://ldf.fi/schema/semparl/Government	1957-07-02	1957-11-28	Kesk.	http://ldf.fi/semparl/groups/Q506591
910016	http://ldf.fi/semparl/people/p910016	Eskola	Kusti		Kustaa Oskari	Eskola, Kusti (1911-2003)	Male	1911-01-01	2003-12-31	kulkulaitosten ja yleisten töiden ministeri	Fagerholmin III hallitus	http://ldf.fi/semparl/groups/Fagerholm_III	http://ldf.fi/schema/semparl/Government	1958-08-29	1959-01-12	Kesk.	http://ldf.fi/semparl/groups/Q506591
910016	http://ldf.fi/semparl/people/p910016	Eskola	Kusti		Kustaa Oskari	Eskola, Kusti (1911-2003)	Male	1911-01-01	2003-12-31	toinen varapuhemies	Puhemiehistö (1958-1962)	http://ldf.fi/semparl/groups/g3184540975640875815	http://ldf.fi/semparl/groups/committees/pmt01	1961-09-15	1962-02-19		
910352	http://ldf.fi/semparl/people/p910352	Eskola	Valfrid		W.	Eskola, Valfrid (1889-1961)	Male	1889-01-01	1961-12-31	jäsen	Sosialidemokraattinen eduskuntaryhmä (1922-1924)	http://ldf.fi/semparl/groups/g2115375823847943803	http://ldf.fi/semparl/groups/pg1	1922-09-05	1924-04-30	SDP	http://ldf.fi/semparl/groups/Q499029
910352	http://ldf.fi/semparl/people/p910352	Eskola	Valfrid		W.	Eskola, Valfrid (1889-1961)	Male	1889-01-01	1961-12-31	jäsen	Sosialidemokraattinen eduskuntaryhmä (1945-1948)	http://ldf.fi/semparl/groups/g2289769400816576390	http://ldf.fi/semparl/groups/pg1	1927-09-02	1954-03-28	SDP	http://ldf.fi/semparl/groups/Q499029
778	http://ldf.fi/semparl/people/p778	Essayah	Sari		Sari Miriam	Essayah, Sari (1967-)	Female	1967-01-01		jäsen	Kristillisdemokraattinen eduskuntaryhmä (2003-2007)	http://ldf.fi/semparl/groups/g2900125318297471452	http://ldf.fi/semparl/groups/pg22	2003-03-19	2007-03-20	KD	http://ldf.fi/semparl/groups/Q1138982
